GO,Genes,Gene_Count,Term_Description,50perc_contaminated_Genes,100perc_contaminated_Genes
GO:0001711,RTF1 CDC73 SOX2 PAF1 LEO1 SOX17 CTR9 CTNNB1 EOMES MESP1 DKK1 GATA6 NANOG HNF1B POU5F1,15,endodermal cell fate commitment,CTNNB1 SOX17 CTR9 PAF1 CDC73 SOX2 MESP1 TWF2 TWF1 G3BP1 RAPSN FBXL14 SH3BP5 RNASE13 MORN2,HSFX3 DBN1 PGRMC1 TTC1 GABRA4 OTOL1 MYO1D KLRD1 POLM PLD3 TPCN2 ATOX1 RAB40A PJA2 RPL22
GO:0036058,PTPRO FKRP NPHS1,3,filtration diaphragm assembly,NPHS1 RASD2 SLC11A2,TCIRG1 MYF6 LYVE1
GO:0032277,INHBA OPRK1 NPVF INHBB INHA CRH TACR2 GJA1,8,negative regulation of gonadotropin secretion,OPRK1 NPVF TACR2 GJA1 USP15 RPL22 CYLC1 VN1R5,SLC2A9 CHMP4B MRPL39 WDR93 CRLF1 FLII CAPRIN2 ZNF131
GO:0014002,LRP1 ROR2 NF1 TREM2 IFNGR1 C5AR1 VIM TSPAN2 POU3F2 KRAS LDLR CNTF GRN TTBK1 TNF ADORA2A NR1D1 DRD1 NAGLU ROR1 S100A8 LAMC3 CDK6 AGER ZEB2 MAPT IL1B IL6 PLP1 S100A9 IFNG C1QA PSEN1 EIF2B5 SMO DLL1 GFAP LAMB2 TLR4 EGFR APP,41,astrocyte development,LAMC3 EIF2B5 ROR2 NAGLU APP TSPAN2 LAMB2 SMO POU3F2 DLL1 ROR1 LDLR DRD1 VIM GFAP NR1D1 CDK6 PSEN1 S100A8 TLR4 SYNE1 ST3GAL2 ACTMAP RSBN1 TMEM101 CCL3L1 CAT PCNX2 IFNL1 RNF151 CXCR1 NUP50 CYB5RL BPY2 FLCN TMEM175 SPDEF TAB3 COBL CTPS1 CAPZA2,BMPR2 NAA15 TGM4 MYOZ1 KCNJ8 C1orf50 TPRX1 CEP350 EAF1 SLC6A13 ZNF493 TACR3 SPATA33 SNX30 VTI1A PHKG2 PUS1 HEPHL1 ACVRL1 PLD3 ZNF569 OR4K1 MRPL15 TMEM51 STYX ILKAP RPL10A ZKSCAN7 C11orf58 DEUP1 INTS10 TRIM4 SPINT2 SLITRK5 NME5 AGPAT1 KCTD3 PDCD2L MAP2K5 BORCS5 HDGFL2
GO:0015872,TGM2 SYT10 COMT SYT4 HTR2A OPRK1 SYT12 CHRNA6 SNCG SLC6A3 GDNF DRD3 SYT9 SYT11 ABAT KCNA2 SYT3 CHRNB2 SLC6A2 MAPK15 SLC18A2 FGF20 DRD1 SLC29A3 SLC22A3 SYT17 SYT15 SYT8 HTR1B GABBR1 PRKCB SYT5 SYT13 SYT2 TOR1A CXCL12 CHRNA4 SNCA SLC22A1 GRM2 PARK7 DRD2 SLC29A4 SYT1 CNR1 SLC22A2 DTNBP1 KPNA4 PRKN PINK1 SYT6 GNAT1 DRD4 RAB3B CHRM5 SYT7,56,dopamine transport,KCNA2 CHRM5 SNCG PARK7 SYT8 CXCL12 CHRNA6 COMT DRD1 DTNBP1 GRM2 TOR1A SLC22A3 MAPK15 SLC6A2 CHRNA4 SYT9 PRKCB SYT4 SYT10 HTR1B GABBR1 CHRNB2 SLC18A2 GDNF SYT3 FGF20 SYT17 ORC6 APOA2 OR51V1 MLH3 KAT2A USF2 SYAP1 CTRB2 SPI1 TNK2 PPFIBP2 SRSF9 NWD1 UBE3C MPHOSPH8 AFF1 NBEA TNFAIP8L2-SCNM1 SSR3 NCOA6 GBA3 WDR38 SH3BP5 PDZD11 EXOSC5 OR1A1 APOBEC3G SBK3,NFE2L2 FOXRED2 SLC35B1 VIRMA LCE2C NDUFS5 DENND1B MED30 BRAT1 KRBOX5 OR13C5 NANOS1 CCNL1 TMX2 PRAMEF27 GAL3ST3 WASHC1 ISG20L2 IL5 UBE3B SYNM SMOX DMXL2 ARHGEF2 SLC23A2 SLAIN2 PTPN4 DNAJB1 MYBPHL KCNK6 MRPL30 NPEPPS TRIML1 UGT1A4 DSTYK TEF EPOR EXOSC5 STAT3 TLR4 VIL1 SLC8A3 STAT5B RPS17 EP300 BIRC7 SRGN CDC14B PSTK MFGE8 PRKCQ SYNGR1 MDFI IL1R1 COX1 IL36G
GO:0032098,MKKS POMC GHSR NENF LEP SCTR BBS2 HTR4 SCT SLC22A3 NOD2 BBS4 SPX UCN GALP PPARA GHRL CARTPT HTR2C NPY,20,regulation of appetite,SLC22A3 UCN SCT NPY GHSR LEP NENF GALP SCTR HTR4 SLC37A4 NDRG1 MAGEB2 LRRD1 TRIM45 RPL10L SMNDC1 MRPL27 THPO TMEM14B,USO1 ZNF512 EVI5L GJB1 TMEM67 RPL26L1 ZNF710 KIF18B CRPPA CLCF1 TM4SF1 MS4A1 VCY PPP3CC CCDC13 DPP3 ACTL7A FAT2 OR13C8 CHST14
GO:0045162,NRCAM SPTBN4 MYOC AGRN SCLT1 GLDN,6,clustering of voltage-gated sodium channels,SPTBN4 GLDN MYOC TAS2R8 ERVFC1 TUBA3E,ABHD17C RBAK SIRT6 UHRF1 UHRF2 C1orf116
GO:0060947,VEGFA MYOCD NOTCH1 MESP1 GATA6 GPER1 SRF HEY2,8,cardiac vascular smooth muscle cell differentiation,NOTCH1 VEGFA HEY2 GPER1 ZNF575 CHST13 IGFL3 RPE65,CUTC GDF3 CDK5R2 MAD2L2 VRTN TRNP1 AFM RPS6KB2
GO:0071468,NOX1 SCNN1B RAB11FIP5 CHP1 ASIC2 PKD2L1 SCNN1A SLC9A1 PKD1L3 AQP10 SCNN1G RAB11B KCNE1 TRPV1 SCNN1D,15,cellular response to acidic pH,AQP10 RAB11FIP5 SCNN1A CHP1 TRPV1 ASIC2 SCNN1B PDE6H ZNF334 KLF9 VTI1A DNAJC2 CASC3 MVB12A CYP2J2,ALG11 PNMA2 LIPK TUBA3D FKBP1B MEIOC ITGAV ARHGAP29 TGM1 IDNK MAP3K9 ILF2 LGALS7 AGPS RPL3L
GO:0099590,EPS15 CACNG8 AP2A2 EFNB2 NUMB HIP1 HPCA VAC14 CACNG3 GSG1L AP2M1 AP2A1 RALA OPHN1 PPP3R1 ARC SCRIB CALY CACNG5 CACNG4 SNAP25 CACNG2 SYNE1 LPAR1 CACNG7 AP2B1 ATAD1 AP2S1 DRD4 ITGB3 DNM3,31,neurotransmitter receptor internalization,HPCA CACNG5 SCRIB ARC AP2S1 SNAP25 CACNG4 AP2M1 VAC14 RALA EFNB2 CALY OPHN1 CACNG3 NUMB GOLGA4 SERPINE1 WDR13 HSPA8 FHOD3 TAS2R60 FGL2 CYP4B1 EZH2 PAFAH2 HFM1 KCNK17 STK35 GOLGB1 HNF1B OR5A2,KCNH2 CARD8 DESI2 TMEM52B GFRAL TLR5 MUC21 SLC44A4 CLCA2 ARPP21 MYO15B TRIM63 ZNF611 SMTN RPEL1 MLLT11 GZF1 FNTB AGXT ZNF3 FSHR NOL3 REEP2 CDC20B PKD1L1 TAF4 TRIM73 CST3 PRMT3 ZNF727 BDH1
GO:0090102,ZEB1 DCHS1 NEUROG1 CDH23 MYO3A DVL2 SOX9 DCANP1 SLITRK6 SLC26A5 FRZB EPHA4 TBX2 KCNK2 TBX18 PAFAH1B1 GABRB2 WNT5A RPGRIP1L GABRA5 POU3F4 GATA2 HES1 FZD2 TBX1 SOBP GRXCR1 HEY2 DVL1 PTK7 TIFAB IFT20 MCM2 KCNQ1 GRHL3 KCNK3 SIX1 CTHRC1 CECR2 CCNA2 PAX2 ADAM10 MYO3B CALB1 EYA1 MYO7A SLC17A8 HPN IFT27 HOXA1,50,cochlea development,SIX1 SLC26A5 DCHS1 NEUROG1 SOBP GABRA5 IFT20 CTHRC1 SOX9 HEY2 HOXA1 ZEB1 PAX2 CECR2 TBX1 DVL2 KCNK2 FRZB KCNK3 GATA2 TBX18 GRXCR1 POU3F4 EPHA4 FZD2 POLR1A TINAG MRPL19 PWP2 PAIP1 TBC1D3I NUGGC RBM6 KPTN MGAT4D ABHD14B SH2D3C MYO18A TMC6 PDE12 KCP SCD RPS2 HK3 GPR137C CLVS1 CLDN9 NECAB2 HTT KLHL24,TRIM27 PRSS55 ALDH9A1 F11 KIAA1586 OR2A12 LAMP3 SLC25A29 FABP6 MEX3D RBM14 DUSP11 ARAP3 UBE3B LDHC FAH SERPINA2 BMT2 SDHAF3 NDC1 CERCAM LYZL1 PEX16 DOCK6 PPDPF CSNK2A3 RENBP OCIAD2 MXD3 H2AP CDC20B ZNF530 PTCRA MICU1 WDR73 CA5B LACTB AUNIP TMEM35A COMMD3 IFFO1 APBB1IP EHBP1L1 CPSF3 RFPL4A NUFIP1 KCNV1 SUMO2 PIGO NUBPL
GO:0031179,PGLYRP2 LANCL2 LANCL3 LANCL1 PAM GGT1,6,peptide modification,LANCL2 LANCL1 GGT1 TM4SF20 SREK1 RPGRIP1L,WASF2 RNASEK PIEZO2 EDEM2 DIS3L2 CLPX
GO:0006703,HSD17B8 HSD3B1 HSD17B11 HSD17B1 HSD17B12 HSD17B7 HSD17B2 AKR1B15 DHRS11 CYP19A1 RDH8,11,estrogen biosynthetic process,HSD17B12 HSD3B1 HSD17B1 RDH8 HSD17B8 ATP2A1 AIG1 MYF5 DCAF12L1 PAQR7 ZNHIT1,TLK1 SLC7A6 GRK4 ASPN SOCS2 NOCT SS18 YIPF5 FRS2 PARP3 RABL2B
GO:0070294,SGK1 CLCNKB OXSR1 UMOD KCNQ1 EDNRA SLC12A3 EDN1 KLHL3 MAGED2 WNK4 EDNRB STK39,13,renal sodium ion absorption,EDNRA OXSR1 CLCNKB MAGED2 KLHL3 EDN1 HMHB1 TRIP13 PTPRF HOXB7 RASSF8 PYDC5 SOAT2,NGDN CACNG6 NDFIP2 FUT6 ASGR2 DISC1 POLB ZNF598 FSHB OR52B2 TMEM131 PGPEP1L PDE8B
GO:0005976,PRKAG2 GCK AGL PYGB NDST1 ACADM ADCY10 ENPP1 IGF2 GYG1 GBE1 GYG2 EGF NR1D1 GNMT PPP1R3D AKT1 PPP1R3B CHST7 PGM2 GCGR UGP2 PASK PFKM EXT2 PER2 PHKB CLTC G6PC1 AKT2 GAA PPP1R3G STBD1 NDST3 IGF1 CSGALNACT2 PCDH12 PPP1R1A GSK3B PYGM GSK3A GYS1 INSR SELENOS CHST1 PRKAG3 INPP5K PPP1R3A PPP1CC PYGL PPP1CA NDST4 CSGALNACT1 NDST2 PPP1R3E EXT1 RUBCNL PHLDA2 PHKA1 IL6ST FUT9 PTGES3 IRS2 PDGFB CHIA AP2A1 PHKA2 PTH PPP1R3F INS HS2ST1 PHKG2 MGAM NFKB1 TGFB1 SORBS1 DYRK2 PPP1R3C POMC IRS1 SMPD3 STK40 CHIT1 EPM2AIP1 PPP1CB NHLRC1 KHK GYS2 HAS3 LEPR PHKG1 HAS1 HAS2 PPP1R2 NPC1,95,polysaccharide metabolic process,NHLRC1 HAS1 ENPP1 EXT2 NDST2 PPP1CC SELENOS IGF2 INS PHLDA2 INSR POMC PPP1R3B PYGM PASK GCK PYGB MGAM SORBS1 GBE1 NPC1 PPP1R3F PPP1R3A GYG1 CHIA EPM2AIP1 ACADM PPP1R2 GNMT PFKM PPP1R3D CLTC CSGALNACT1 IRS2 IL6ST PHKA1 GSK3B LEPR FUT9 PHKB PHKG2 PER2 PHKG1 STBD1 UGP2 NR1D1 DYRK2 PIP4P1 ENHO KCNS1 CACNG3 GCLM TPT1 GPX4 PKHD1L1 HAUS5 PCDHGA11 TMA16 SARDH KIAA1755 GAGE4 MIA TNFRSF13B PTGFRN CHIC2 ARTN HYI LIM2 COL17A1 OR10G3 CACNB1 CXCL12 SLC25A48 CFAP70 IQUB DEFB4B DYNLT5 PLEKHO2 ROBO4 ANO9 MFF CHRDL2 CLUAP1 SCFD1 SDK1 SCARF1 MTMR12 PLAAT4 SMCO4 H2BC11 ABCB5 CELSR1 ERVFC1 MIOS S100A16,NSG2 TMEM198 LTB4R DEFB121 PPIP5K2 WDR76 DOCK2 CZIB SYBU ICOS PLEKHG4B SLC50A1 MOXD1 BAIAP3 OAT GNB5 OR13H1 SPAG16 OR5K1 FLRT3 TRPC4 ZNF622 SLC39A7 SLC6A12 PCDHGA1 GAGE2C ARMH3 ANO5 EPS8L2 KRT7 KCNV2 TNFAIP8L1 TCTA SLITRK3 OR2A2 SLC25A44 RALGPS2 OR6X1 ARHGAP25 PODN ALS2CL ADAMTSL2 MCRIP1 CCKAR DEF6 CCDC68 PNOC SCYL2 ADRA1A CRACR2B PRM2 HSD3B1 ZNF664-RFLNA SERINC4 DOK6 JAKMIP1 ATP1A3 STRBP SHROOM1 CDH11 PEX3 GPR137 VSTM1 TUBE1 MYBPC3 HADHA ENOX1 KIF20B SLC7A13 CNNM2 BLTP3B RASSF9 NSDHL RSBN1 OR2Y1 SLC66A2 DMAC2L EBPL IFITM5 CLASP2 CLDN14 ARHGAP6 OR5M1 AAMP RRAS NINJ2 HSPG2 TMED6 ACAD8 CNIH4 TMEM176A CLCN6 GADD45G NETO1 FRAT2
