GO,Genes,Gene_Count,Term_Description,50perc_contaminated_Genes,100perc_contaminated_Genes
GO:0036017,KIT CD40 MT2A EPO RHEX MT1X EPOR,7,response to erythropoietin,EPO RHEX EPOR NXN HNRNPM SFMBT2 OR2T3,ZNF76 GHRH MSL3 STK11 ABTB1 ZNF773 CYTH2
GO:0008292,SLC44A4 CHAT SLC5A7,3,acetylcholine biosynthetic process,SLC5A7 GALP MT2A,HMCN2 CHGA ODF4
GO:0032075,HMGB2 AKT1 RPS3 DDX11 PCNA PRKCD,6,positive regulation of nuclease activity,AKT1 DDX11 HMGB2 ACSL1 CASP7 KNDC1,SKP2 GNPDA1 RIPPLY1 SULT1C2 SIRPG GYS1
GO:0015760,G6PC3 SLC37A3 SLC37A1 G6PC1 SLC37A4 SLC37A2 SLC17A3,7,glucose-6-phosphate transport,SLC37A1 SLC37A3 G6PC1 MTA1 MIP SGSH CHMP1B,H4C2 DOT1L PCOLCE FLG MEDAG FBXW8 MYOT
GO:1904377,ZDHHC2 LRP1 EFCAB7 WNT3A TREM2 SORBS1 EGFR ARHGEF16 ACSL3 GNAI1 PRKCE WNK3 AGR2 AKAP5 ZDHHC5 VIL1 PTPN9 RAMP3 VPS35 LGALS3 ARF6 PLS1 STX4 PDPK1 ITGA3 DLG1 EZR STAC2 KCNJ11 GPSM2 EPHB2 SPTBN1 EPB41L2 PPP1R9B TNF ITGB1 GPER1 STX3 CNST KIF5B EPHA2 RER1 ATP2C1 AKT1 PIAS1 DPP10 ATP2B4 SQSTM1 NUMA1 PRKCI SNCA PRNP NKD2 STAC3 RAB11FIP2 CACNG2 RAB38 EPB41 EPHA3 CNPY4 RHOG RACK1 IFNG CLIP3 RANGRF CIB1 STAC PGRMC1 PRKCH ZDHHC8 CLN3 EIF4G1 PIK3R1,73,positive regulation of protein localization to cell periphery,EPB41 PTPN9 DLG1 VIL1 EGFR RER1 SORBS1 RHOG GPSM2 KIF5B CNST DPP10 PIK3R1 GNAI1 CLN3 STAC2 ZDHHC8 VPS35 AGR2 AKAP5 STAC ATP2B4 EFCAB7 TREM2 PIAS1 PDPK1 NUMA1 PRKCE SNCA GPER1 ARF6 TNF EPB41L2 ACSL3 ARHGEF16 RACK1 PDLIM1 XYLB MCRIP1 MRPL39 H3C3 SNRPC MMP28 ZFP42 NFE2L3 ADAM30 SNRPN SSUH2 MTIF2 JPT2 U2AF1L4 ZWINT PDE3A OR5AN1 OR10J5 PIK3CG CASP3 SERPINA1 MON1A SLC35F6 TUBGCP3 QRFPR TSPAN10 CEP162 AFG1L OMD MRPL19 SCAMP5 VEZF1 LOC102723553 MRPS6 SCUBE3 ZNF556,RIF1 AGTR1 ZBTB37 CCNYL1 ASB16 TSTD1 TRDN ZNF275 CCDC24 HERC4 TAGLN URM1 CFC1 CPB2 IGFBP2 PPP6R3 TCHP RAB4A TACSTD2 REV3L CLEC12A CSN1S1 SPHK2 MED19 PKD1L1 CBX1 PDCD1LG2 MAML2 ERP29 TRPC5 ATP5MGL FADS6 SLC31A1 CLBA1 ANAPC15 MRC2 PEX10 GPR174 PGAP6 PPIB TMA16 FOXJ1 GPRASP2 ZNRD2 ABCA6 FEM1C DSP TUBB8 LRATD1 ABCF1 ADH1C DHX33 TEDC2 AHSG ELAPOR1 ZNF584 UHRF2 TMBIM4 ZC3H6 SCGB2A2 TRAPPC2 GLB1L ADIRF SEH1L TNFRSF10C GJA9 DUSP8 AMN1 COX5B AKAP13 CNTNAP4 KIF18A NHEJ1
GO:0042775,NDUFS8 NDUFS5 UQCRC1 NDUFB8 SDHA NDUFS1 COX6A2 COX8A COX4I2 COA6 ND3 CHCHD2 SDHD CDK1 CYCS NDUFB10 PARK7 NDUFB7 ND2 NDUFB2 NDUFA1 COX5B NDUFAB1 COX6B1 ND4L NDUFB1 NDUFV3 COX7A1 UQCRC2 BID NDUFA2 CYC1 NDUFC2-KCTD14 COX6C NDUFA8 COX4I1 CYTB COX7B2 ND6 NDUFB6 NDUFB5 DGUOK COX8C DNAJC15 NDUFV1 UQCRH PINK1 NDUFA6 UQCR11 CCNB1 COX1 ND1 NDUFA4 NDUFS2 TAFAZZIN UQCRHL ND5 NDUFA7 GHITM NDUFS6 ND4 COX3 COX5A SDHAF2 COX15 NDUFV2 COX6A1 UQCR10 UQCC3 NDUFA9 NDUFA12 NDUFB9 NDUFS7 NDUFB4 ISCU NDUFS4 UQCRFS1 COX7B COX7C NDUFS3 COX7A2 SDHC NDUFA3 COX2 NDUFA10 SDHB NDUFC2 NDUFAF1 COQ9 SNCA NDUFB3 AFG1L UQCRB COX7A2L NDUFC1 UQCRQ DLD NDUFA5,98,mitochondrial ATP synthesis coupled electron transport,NDUFB4 COX4I1 UQCRC1 NDUFAF1 COX5B NDUFA4 NDUFA9 CYTB DLD SDHC NDUFA8 SNCA DNAJC15 NDUFB6 NDUFS8 BID COX6A2 COX1 CDK1 NDUFB3 NDUFA7 SDHB GHITM COQ9 NDUFB10 SDHD COX7B2 CCNB1 COX6C NDUFB8 NDUFA5 ND4 COX7C ND6 ND3 UQCR11 NDUFV3 COX8C NDUFA1 DGUOK NDUFC1 ISCU UQCRFS1 COX3 ND5 NDUFA12 UQCC3 NDUFV2 SDHA CHAMP1 PRRC2C CRYGS SCN1A TNFRSF1B NSRP1 KGD4 TWIST1 STX18 OR8I2 CNRIP1 WIPI2 RASGRF2 NIPSNAP2 SLC6A20 SPCS3 CXCL3 HIF1AN TMEM14A ATN1 KNSTRN PER2 OR6C74 EIF4A2 FAM171A1 MMAB CENPK IVD LYPLA1 MGAT4A MEN1 SRRM2 POPDC3 EPHA6 LZTS3 HSF1 GSDME SLC39A2 CPNE5 PALM3 ACD CNNM3 MEIOB ATG14 RPS27L WFDC10B MID1IP1 VGLL3 CNR2,CSRNP2 SS18L1 ACAT1 TSSK1B SERPINA6 PRKAR1B GYG2 GPR12 MAL2 WNT6 MMP21 TNKS CCND3 FEZ1 MAGEL2 LASP1 SAMHD1 CERCAM DOK7 NUBP1 RARG TAF2 TERF1 TCERG1 PITHD1 AP1M1 PRICKLE3 LGALS7 OR9K2 FHIT AVPI1 ABHD16A VGLL3 SEC14L1 DHX36 WDR6 PATE4 CEACAM1 GATB KLHDC8B PAIP2 CCS HCN4 KCTD3 NELFCD COMMD3-BMI1 DNAH14 OR1L1 FCGR1A LRRC55 AURKAIP1 POC1B RNH1 CROCC SLC25A26 RAB11FIP4 TAAR2 CERS6 AQP2 VWF MSANTD1 BATF3 ZNF550 PTPN22 ARFGAP3 SLC25A40 NGF MUC21 BCDIN3D PER2 BATF USP46 SFTPD CDC42EP2 TAS2R5 CCL24 MAN1C1 RNF43 TARBP1 MIDEAS NDUFAF7 INSC AP1S3 BEND6 FABP1 CHKA FAM184A LRRC70 FEN1 DRG2 TLE3 DLL3 THAP4 LPA TREML2 NSUN2 DIP2B ZNF217
GO:1900153,NANOS3 CNOT7 CPEB3 NANOS1 ZFP36 TNRC6B TOB1 PABPC1 TNRC6C ZFP36L2 AGO2 NANOS2 ZFP36L1 CNOT1 DHX36,15,"positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay",CPEB3 NANOS1 NANOS2 CNOT7 PABPC1 AGO2 ZFP36 PIEZO1 PECR BRAP KLK4 DNASE1L2 PIK3C2G TMEM135 NLRP5,IMPDH1 BCL10 LTF ZNF501 HUS1B HMOX2 STK17A CTRB2 HTR3A OR4D5 CSF2RA ZNF83 NIBAN1 ATP11A ARHGAP12
GO:0036303,PKD1 TIE1 PDPN VEGFC SVEP1 CCBE1 ACVR2B FOXC1 VEGFA EPHA2 LGALS8 BMPR2 CLEC14A ACVRL1 PTPN14 FOXC2 SOX18 VASH1 FGF2 PROX1 PPP3CB FLT4,22,lymph vessel morphogenesis,FLT4 FOXC2 EPHA2 VEGFA PTPN14 VEGFC ACVRL1 PKD1 CCBE1 ACVR2B FOXC1 WWP2 PGBD1 QNG1 HLA-DQB2 PLOD2 CD200 JPT2 FBXO4 CPS1 SEC24A DHRS9,GGCT RFX7 CELA2A ARL2BP PHC1 BTBD10 MAGEC2 CCND1 CAMKK2 WFDC12 MBOAT1 SGK3 MICAL1 NOC3L SRM CDC14B PF4V1 GLYR1 ZNF207 LSR WRAP53 SPICE1
GO:0048840,ATG5 ATG4B OC90 SLC44A4 BLOC1S5 NOX3 LRIG3 TTC39C OTOL1 LRIG1,10,otolith development,OTOL1 ATG5 SLC44A4 TTC39C NOX3 APOL3 CCDC57 CRTC2 KGD4 FMOD,PTPN5 MIDN ULBP3 POMT1 PLEKHB1 CIDEC METTL25 NSMCE2 ZC3H7B SNAPC4
GO:0051754,BUB1 PPP2R1A BUB1B MEIKIN,4,"meiotic sister chromatid cohesion, centromeric",BUB1 MEIKIN SIL1 RAB6B,ZNF860 SPAG6 SLC25A20 OPN3
GO:0015816,SLC38A1 SLC36A3 SLC6A17 SLC7A8 SLC6A5 SLC25A38 SLC6A20 SLC38A5 RGS4 RGS2 SLC36A1 SLC7A10 SLC6A9 SLC36A2 SLC32A1,15,glycine transport,SLC38A5 RGS2 SLC6A9 SLC32A1 SLC36A2 SLC7A10 SLC38A1 RTBDN CENPC CTAG1B IQSEC1 PVALB ERAL1 SCUBE3 TP53I13,LACRT APIP CD209 KYAT1 IL33 CSRNP3 UBOX5 DEFB126 PLD1 SULT1A3 TPPP3 ND1 TTC5 KCTD16 CRNN
GO:0006105,GAD2 ALDH5A1 SDHAF3 GAD1 SDHA SUCLG2 SUCLA2,7,succinate metabolic process,GAD2 SUCLG2 SDHA ITGA11 MYO1C C11orf65 CCDC113,ACAD8 RING1 FOXK2 FITM1 IMPG2 MON1B FGF17
GO:0060020,MAPK1 MAP2K1 PTPN11 SHH GPR37L1 GFAP MAPK3 PLPP3 TTC21B VIM ABL1,11,Bergmann glial cell differentiation,GPR37L1 MAPK1 SHH PTPN11 PLPP3 ATP6AP2 TMEM250 MTRES1 IFI16 PDLIM2 CRYZL1,SORBS2 CNPY3 CSPG4 WDR81 ACTL6B CCL19 ZNG1E CUEDC2 MYBPC1 SYN1 KLK7
GO:0006406,DDX39B THOC1 NXF1 THOC2 THOC6 THOC5 POLDIP3 NUP214 NXF3 HNRNPA2B1 NSUN2 ALYREF AKAP8L PABPN1 EIF4A3 SUPT6H NUP160 FMR1 SRSF3 NCBP1 NXT1 UPF1 CHTOP RBM8A DDX19B AGFG1 NUP107 DDX19A UPF2 NUP85 NCBP2 NUP88 NUP133 TPR MAGOH MCM3AP MAGOHB HHEX NXT2 NCBP3 DDX39A RAE1 THOC3 C12orf50 DDX25 CASC3 SARNP YTHDC1 SMG6 PCID2 WNK1 SMG5 NXF2 ZC3H11A NXF2B SMG7 NUP155 THOC7 ALKBH5 SMG1 XPO1 EIF4E RBM15B GLE1 NUP93 ENY2 FYTTD1 SETD2 IWS1,69,mRNA export from nucleus,NCBP3 MCM3AP NUP133 HHEX NUP93 CASC3 PCID2 NUP160 AGFG1 DDX19B DDX19A SMG7 NUP214 DDX39B NXF3 NUP85 ENY2 NUP107 NCBP2 THOC7 ALYREF C12orf50 DDX39A THOC2 NUP155 NUP88 THOC6 XPO1 CHTOP GLE1 AKAP8L UPF2 SMG5 SETD2 VMA21 OASL IQCB1 SEMA3G LRRC59 BUB3 HYI CDH10 CDH16 PARVB YIPF3 TMEM38B SFXN5 CAPN8 CCDC78 OR8A1 MORN2 CILK1 AGPAT5 SCD5 HPCAL4 ZFYVE1 FBXO22 CCDC113 AMER2 GCKR TMEM87A LOXHD1 VWF C1QL2 ZRANB1 GALNT4 ADAMTSL4 POLN PCDHB16,ASB9 KRT19 FCHSD2 ADCY9 FCHO2 GKN1 OR10A4 ATP1B3 SELENOW ACSBG1 GNG14 SPINK1 CRAT DUSP21 PLEKHB1 IGLL5 MYO16 EXPH5 STAMBPL1 OR10G4 SAV1 KDELR3 COPZ1 USP28 CALHM2 PGAM5 IL22RA1 FUT4 CSN2 VNN1 SYNDIG1 NRSN1 ND4L TUBA1C EPS8L1 EMC10 CHAD AP2M1 SHC2 RIMKLA DYNC1LI2 TMEM268 LRRC10 USP17L4 AP3B2 DZIP3 RAB18 SULT2A1 CYP2B6 GPCPD1 SH3D21 OR4S1 AIDA GPR50 RAB34 EPM2AIP1 PKD1L1 ASPSCR1 CARMIL1 OPN3 CDKN3 SMUG1 RNF17 KAZALD1 KCNJ10 SLK PPP6R1 TEX28 SDHB
GO:0048857,CDK5R2 CNP HOXB2 CASP5 YWHAQ BASP1 CALM2 ATP5PF CKB FOXP2 SEC16A POTEE LOC102724334 NKX2-1 SYNGR3 SUDS3 ALDH1A3 NDUFS3 CHRNB2 RHOA SIRT2 YWHAH S100A1 TTBK1 CCDC14 ZNF148 GNB4 KCNC1 NDRG2 G6PD HOXB1 ATF2 DYNLL1 MAPKAP1 RAD1 SCRIB FGF9 ASCL1 MECP2 CALM1 ATP5PB KIRREL3 CDC42 CALM3 BCL2 KCNE1 MAOB PHOX2A ZNF430 PHOX2B MBP HSPA5 INA SEC24B FGF2 ACTB SYPL2 GLUD1 LARGE1 COX6B1 NFIB ARX CDK5R1 PADI2 KCNC2 YWHAE PLP1,67,neural nucleus development,S100A1 NKX2-1 LOC102724334 SEC16A ARX CDC42 CALM1 RHOA HOXB1 CALM3 PADI2 FGF9 BASP1 SUDS3 COX6B1 CKB YWHAE KCNE1 SYNGR3 SCRIB KCNC1 DYNLL1 PLP1 YWHAH HSPA5 NDUFS3 G6PD MAPKAP1 BCL2 CHRNB2 ACTB FOXP2 ATP5PF HJV PLAU GALNT15 GJA9 USF1 CXXC5 SPEF1 ZBTB4 OSBPL11 SEC62 SRSF9 SPON2 ZNF182 AIFM1 ALG12 B4GALT4 KIF1C PIGBOS1 NDC80 HFM1 CST4 SENP1 SPATA31A7 DOK1 ODF2L HMGXB3 MC3R OR5M11 OR51A2 RIT1 GPAM TEX101 ZNF550 PFDN2,NMNAT3 USP6 EPPIN USP17L21 SPACA5 TNFRSF6B MCM4 TDRD9 SLC38A4 OPRK1 CDC5L RNASE13 ASB16 SCTR ZNF222 MVD RALGPS2 DOCK3 TBC1D1 ELMO2 POM121L2 FAM13A EEF1D TFAP4 HACD1 RRAD OR6C4 MYRFL SLC5A6 GARS1 PRELID3A RPS24 CSNK1E COPB1 CFAP298 SUGT1 ARVCF MUC4 MYO1G SARS2 TBC1D8B GNAZ ASB12 MOB1B GNRH2 GGCT ZNF592 SYTL5 ZNF250 SFSWAP CATSPERG FBXO39 RPL10L SLC49A3 FYB2 NALF1 ZNF735 CRTAP OR5AN1 GAS1 DNAJC16 ZBTB8A DEFB121 NCEH1 OLFML2B SLC13A5 SF3B5
GO:1905806,EPHA4 PLXNC1 TREM2 ADGRB3 ITGB1 C1QL1,6,regulation of synapse pruning,TREM2 EPHA4 C1QL1 TMEM170B CA5B SIDT1,WWP1 ARHGEF6 DEFB107B FGD1 PARP15 SLC25A21
GO:0000296,SLC18B1 ATP13A2 TAF7,3,spermine transport,ATP13A2 GRAP LSM8,PCARE GPBP1L1 SARAF
