iteration,gene_set_size,go_term,genes,traditional_score,rag_score,score_difference,processing_time
65,5,GO:0090069,SHQ1 METTL18 NUDT16 MALSU1 KAT2B,0.9,0.85,-0.050000000000000044,8.6025710105896
66,5,GO:1904691,NUPR1 PHOX2B WDR13,0.85,0.85,0.0,5.861142635345459
67,5,GO:0032886,MET TTLL6 CHMP4C TEX101 CLASP2,0.85,0.95,0.09999999999999998,6.111975908279419
68,5,GO:0050793,DLL3 TMIGD2 TERT TAFA5 SOX15,0.85,0.95,0.09999999999999998,5.418767690658569
69,5,GO:0036066,SLC35C1 POFUT2 B3GLCT POFUT1 SLC35C2,0.9,0.95,0.04999999999999993,5.957802057266235
70,5,GO:0006393,MTERF2 MTERF1,0.9,0.95,0.04999999999999993,9.305583000183105
71,5,GO:0051790,OXSM THNSL2 ACSS2 ACSS1,0.9,0.9,0.0,5.022101879119873
72,5,GO:1905203,ROCK1 PPP3CA PPARG ROCK2 RUNX1,0.9,0.9,0.0,12.77056097984314
73,5,GO:2000170,NOS1AP TXN ACE,0.85,0.9,0.050000000000000044,5.589348077774048
74,5,GO:1902750,NOP53 INIP DONSON SYF2 MBTPS1,0.9,0.9,0.0,6.298799991607666
75,5,GO:0031587,HAP1 P2RY6 HTT PKD2,0.85,0.9,0.050000000000000044,9.078976154327393
76,5,GO:0002279,RAC2 SLC18A2 GAB2 VAMP7 LAT2,0.92,0.92,0.0,7.127496004104614
77,5,GO:0046685,UROS FECH CYP1B1 CPEB2 CYP1A1,0.9,0.85,-0.050000000000000044,5.077662229537964
78,5,GO:0061056,MEOX1 SCX SHH SFRP2,0.85,0.92,0.07000000000000006,6.887973785400391
79,5,GO:1900542,PSEN1 IER3 NCOR1 SLC2A6 GCK,0.9,0.9,0.0,8.061020851135254
80,5,GO:0019086,USF2 MON1B CCNT2 USF1,0.85,0.85,0.0,6.120514154434204
81,5,GO:0044706,PSG4 PITHD1 UCP2 ESR1 ADRA2B,0.85,0.9,0.050000000000000044,6.586353063583374
82,5,GO:0032530,RAP1GAP VIL1 USH1C EZR KLF5,0.92,0.95,0.029999999999999916,15.26372504234314
83,5,GO:0051685,MYZAP GCOM1 POLR2M,0.85,0.85,0.0,5.323534250259399
84,5,GO:0032651,CCR7 PML GSDMD NLRP7 APOA1,0.85,0.95,0.09999999999999998,7.70913290977478
85,5,GO:0002716,KLRC1 CD96 CLEC12B SERPINB9 CEACAM1,0.85,0.9,0.050000000000000044,5.080132007598877
86,5,GO:0051694,LMOD1 LMOD3 TMOD2 TMOD1 TMOD4,0.92,0.95,0.029999999999999916,7.174942970275879
87,5,GO:0021548,ASCL1 SEC24B UQCRQ CDK5R2 ATF2,0.85,0.85,0.0,6.6538708209991455
88,5,GO:0140013,SYCE2 MSH4 EHMT2 WEE2 MAEL,0.92,0.95,0.029999999999999916,6.6962339878082275
89,5,GO:0021834,SLIT3 SLIT1 SLIT2,0.92,0.95,0.029999999999999916,6.920652151107788
90,5,GO:0003073,NAV2 AVPR1B CORO2B SOD2 CTSG,0.85,0.9,0.050000000000000044,6.133703947067261
91,5,GO:0014889,TBCE CFLAR TRIM63 MSTN GSN,0.85,0.95,0.09999999999999998,7.807109117507935
92,5,GO:0046824,PRKACA ZC3H12A IFNG IPO5 EFCAB7,0.85,0.95,0.09999999999999998,4.886779069900513
93,5,GO:0060743,FOXA1 FEM1B HOXB13,0.85,0.9,0.050000000000000044,5.5821897983551025
94,5,GO:0008291,CHAT BCHE SLC44A4 COLQ SLC5A7,0.92,0.9,-0.020000000000000018,7.013637065887451
95,5,GO:0032228,CNR2 CA2 PRKCE CA7 KIF5B,0.9,0.95,0.04999999999999993,5.933575868606567
96,5,GO:0006813,ALG10B ADRA2A SNAP25 BIN1 TSC1,0.9,0.95,0.04999999999999993,4.979642152786255
97,5,GO:0071635,CD2AP GATA6 LAPTM4B TYROBP FURIN,0.92,0.85,-0.07000000000000006,7.123560905456543
98,5,GO:0071680,JUP CTNNA1 CDH1 CYP1B1 BRCA1,0.9,0.95,0.04999999999999993,4.691915035247803
99,5,GO:0071468,SCNN1A KCNE1 CHP1 PKD2L1 RAB11B,0.9,0.95,0.04999999999999993,5.525511980056763
0,10,GO:0043401,PAK1 PARP1 HDAC6 FOXA1 VPS11 ZMIZ1 PER1 PDE3A NKX3-1 ZBTB7A,0.92,0.92,0.0,9.314942836761475
1,10,GO:0016553,ADARB2 ADAT2 ADAD1 ADARB1 A1CF APOBEC3B APOBEC3F RBM47 APOBEC3C APOBEC3H,0.92,0.95,0.029999999999999916,6.677637100219727
2,10,GO:0090304,TICAM1 MED11 LHX8 SYNCRIP SNAI2 USP1 SOX2 KRBOX5 INSM2 ZNF17,0.9,0.95,0.04999999999999993,7.660320997238159
3,10,GO:1903077,TMED2 TMBIM1 AP2M1 MRAP WNK3 GBP1 PID1 PICALM RHOQ WNK1,0.92,0.9,-0.020000000000000018,8.088473081588745
4,10,GO:0045622,IL23A CD86 IRF4 IL4R IL27 BATF BCL6 LOXL3 SOCS5 NFKBID,0.92,0.95,0.029999999999999916,7.936487913131714
5,10,GO:0032351,WNT4 PDE8B BMP2 GFI1 AKR1C3 PRMT3 REST BMP5 CYP27B1 DKK3,0.92,0.85,-0.07000000000000006,11.718698024749756
6,10,GO:0007601,RLBP1 KCNJ10 CABP1 RS1 FAM161A PCARE OAT PRR4 GNAT2 LUM,0.92,0.95,0.029999999999999916,9.737851858139038
7,10,GO:0014896,NOTCH1 PPARG MLIP MEF2A MTPN TOMM70 PPP3CA CTDP1 SMAD3 ATP2B4,0.92,0.9,-0.020000000000000018,7.361552000045776
8,10,GO:0048532,HOXB2 TFAP2A NRP1 BMPR1A KIF14 EGR2 HSPA5 NRP2 KCNA2 SEMA3F,0.92,0.95,0.029999999999999916,7.262491941452026
9,10,GO:0042986,NCSTN PAWR SOAT1 ABCA2,0.85,0.85,0.0,6.6669700145721436
10,10,GO:0060020,PTPN11 MAPK1 SHH MAPK3 PLPP3 TTC21B VIM GPR37L1 GFAP MAP2K1,0.9,0.9,0.0,4.56363582611084
11,10,GO:0101023,STAT3 APLN DBH AKT3 PLCG1 ALDH1A2 ADAM17 SIRT6 SLC39A9 FLT1,0.85,0.85,0.0,8.00840711593628
12,10,GO:0045727,EIF6 EIF5A PIWIL2 ZCCHC4 UPF3A DHX36 DAZ4 HNRNPU CYP1B1 IMPACT,0.9,0.95,0.04999999999999993,8.788057088851929
13,10,GO:0014072,PRKCE PPP1R1B OPRM1 PRKCG DRD3 PPP1R9B PPP2R2A SLC1A1 DRD2 PPP5C,0.92,0.95,0.029999999999999916,6.473423004150391
14,10,GO:0060255,NR3C1 BUD23 PTBP2 RAB1A PRAMEF33 MAPK9 ABCG1 MYOZ2 SIRT4 PPM1A,0.85,0.9,0.050000000000000044,9.117519855499268
15,10,GO:0036258,VPS4B CHMP1A VPS37D STAM CHMP6 CHMP7 CHMP4B VPS36 VPS25 SNF8,0.95,0.95,0.0,6.249747037887573
16,10,GO:0046643,LEF1 PTPRC EGR3 SYK TCF7 SOX4 STAT5B LILRB1 NOD2 NCKAP1L,0.92,0.95,0.029999999999999916,6.854932069778442
17,10,GO:1905719,HOOK2 HOOK1 FHIP1A SQSTM1 AKTIP HOOK3 SEPTIN14 RNF26 FHIP1B,0.92,0.9,-0.020000000000000018,7.782800912857056
18,10,GO:0002347,DLEC1 ABI3 KLF4 IL4I1 NOTCH1 NOTCH2 HRG MR1 HAVCR2 DAPK1,0.85,0.95,0.09999999999999998,4.717168092727661
19,10,GO:0021615,PLXNA4 HOXB3 HOXD3 HOXA3,0.9,0.95,0.04999999999999993,8.517302989959717
20,10,GO:0060370,PVR NECTIN2,0.9,0.95,0.04999999999999993,5.067568778991699
21,10,GO:2000736,SIRT6 METTL3 HDAC2 ESRRB SOX6 MTA1 TRIM6 OSM RBBP4 NKX2-5,0.92,0.95,0.029999999999999916,10.55182409286499
22,10,GO:0002513,LYN XKR8 FOXP3 TGFBR2 AIRE,0.92,0.95,0.029999999999999916,6.100260019302368
23,10,GO:0006103,L2HGDH IDH1 PHYH TAT ADHFE1 D2HGDH AADAT GOT1 KGD4 GPT2,0.92,0.95,0.029999999999999916,7.0696120262146
24,10,GO:0072535,LTF ADAM8 IFNG,0.85,0.9,0.050000000000000044,6.39525580406189
25,10,GO:1904356,GNL3L TNKS HNRNPA2B1 HMBOX1 NEK7 HNRNPA1 ACD ATR PKIB PIF1,0.92,0.92,0.0,6.520923137664795
26,10,GO:2000379,NNT AKR1C3 RIPK1 ACE2 CBR1 MAPK14 PRKCD CDKN1A PID1 CD36,0.85,0.92,0.07000000000000006,7.952119827270508
27,10,GO:1905601,PCSK9 ABCA2,0.9,0.9,0.0,4.057478904724121
28,10,GO:0006874,DMD TMEM178A ITPR2 PRKD1 HAP1 CXCL12 ITPR1 PLCD1 JPH4 HTR2B,0.92,0.95,0.029999999999999916,5.2220299243927
29,10,GO:0007405,KIFAP3 KCNA1 ACAN HAPLN3 PAX6 VEGFA CX3CR1 NOTCH1 RAB10 DMRTA2,0.85,0.95,0.09999999999999998,5.016448020935059
30,10,GO:0061819,XRCC1 ERCC4 ERCC1,0.95,0.95,0.0,6.956705093383789
31,10,GO:1900100,IL2 IL10 XBP1,0.85,0.95,0.09999999999999998,5.12471079826355
32,10,GO:1902412,KIF20B CDCA8 NUP62 AURKB DCDC1 MAP9 WNK1 POLDIP2 BIRC5 ANKRD53,0.92,0.95,0.029999999999999916,4.405996084213257
33,10,GO:0055117,SCN10A ADRA1B PKP2 AKAP9 FGF13 NPPA TMEM38A TRPM4 CALM1 TMEM38B,0.92,0.92,0.0,7.259674072265625
34,10,GO:0001771,DOCK8 DLG1 NEDD9 MSN EPHB1 HAVCR2 LGALS3 CD6 CCR7 NCK2,0.92,0.95,0.029999999999999916,7.739336729049683
35,10,GO:0002143,TRMU CTU2 CTU1 MOCS3,0.95,0.95,0.0,4.958633899688721
36,10,GO:0042886,CRHR1 AQP11 SLC46A1 ABCB9 AACS UPK3A SIRT6 SLC14A1 SERP1 RAPGEF4,0.85,0.85,0.0,7.678445100784302
37,10,GO:0090044,FNTA HDAC6,0.85,0.9,0.050000000000000044,5.831838846206665
38,10,GO:0033687,NELL1 FGFR2 BCL2 TNN NF2 CTHRC1 AXIN2 ABL1 SFRP1 ATRAID,0.85,0.92,0.07000000000000006,6.991109848022461
39,10,GO:0021636,PLXNA4 NRP1 SEMA3F NRP2 SEMA3A PLXNA3,0.92,0.95,0.029999999999999916,5.398945093154907
40,10,GO:0002634,FOXJ1 MEF2C TNFAIP3 ADA BCL6 TNFSF13B PKN1 RC3H1,0.85,0.92,0.07000000000000006,7.37589693069458
41,10,GO:0086013,KCNH2 YWHAE KCNA5 ATP1B1 KCNE5 ATP1A1 KCNE4 NOS1AP RNF207 KCNJ5,0.92,0.9,-0.020000000000000018,6.636234998703003
42,10,GO:0070426,SLC15A4 SLC15A3 NAGK TLR4 HSPA1B HSPA1A SLC46A2,0.92,0.85,-0.07000000000000006,6.620275974273682
43,10,GO:1990646,FOS SRC,0.85,0.85,0.0,5.171952247619629
44,10,GO:1902956,PINK1 DNAJC15 SNCA PARK7 ISCU,0.92,0.92,0.0,5.938197135925293
45,10,GO:1902822,VPS35 LRRK2 SNAPIN,0.92,0.95,0.029999999999999916,4.708665132522583
46,10,GO:0048304,MSH2 PTPRC ATAD5 PMS2 TBX21 MLH1 IL4 PAXIP1 IL2 CD28,0.95,0.95,0.0,7.608367681503296
47,10,GO:0006865,SLC25A44 SLC38A11 SLC6A17 LRRC8B RGS4 SLC66A1 GRM2 HTR1B SFXN2 ADORA2A,0.9,0.92,0.020000000000000018,6.537945032119751
48,10,GO:2000822,NPAS2 MEF2C PENK GRP EPHB2 RAG1 UCN CRH GRPR APOE,0.85,0.95,0.09999999999999998,8.899080991744995
49,10,GO:0006423,CARS2 CARS1,0.9,0.95,0.04999999999999993,5.865549087524414
50,10,GO:0043372,IL4R NCKAP1L TNFSF4 IL23R SOCS1 SHB IL18 KLHL25 FOXP3 LGALS9,0.92,0.95,0.029999999999999916,5.165449857711792
51,10,GO:0006172,AK4 AK5 AK2 AK3 AK1,0.9,0.95,0.04999999999999993,10.358189105987549
52,10,GO:0019060,IFIT1 DYNLT1,0.85,0.9,0.050000000000000044,4.901753902435303
53,10,GO:0019322,G6PD PGD,0.9,0.9,0.0,6.055989980697632
54,10,GO:0051901,ADCY10 PARP1 DCN RACK1 MLLT11 P2RX7 MYOC KDR TSPO,0.85,0.92,0.07000000000000006,8.328114032745361
55,10,GO:1902253,RPL11 EIF5A TIFAB KDM1A ZNF385A CD74 ARMC10 ELL3 TP53 RRM2B,0.92,0.9,-0.020000000000000018,7.230109930038452
56,10,GO:0060964,TIAL1 TP53 STAT3 TGFB1 IL6 ZC3H10 ZMPSTE24 LIN28B FXR1 PUM2,0.9,0.95,0.04999999999999993,9.420742750167847
57,10,GO:0021776,SUFU GLI3,0.9,0.95,0.04999999999999993,4.914008140563965
58,10,GO:0045964,VPS35 GPR37 HPRT1 PARK7 ABAT MAOB,0.85,0.9,0.050000000000000044,5.6686930656433105
59,10,GO:0009590,OTOP1 NOX3,0.85,0.9,0.050000000000000044,5.65923285484314
60,10,GO:0009590,OTOP1 NOX3,0.85,0.85,0.0,4.862680196762085
61,10,GO:2000009,SNX33 NEDD4L ACTN2 COMMD1 GPM6B TAX1BP3 LEPROT ASTN2 GOPC PICALM,0.92,0.85,-0.07000000000000006,7.23004674911499
62,10,GO:1903352,SLC25A29 SLC7A2 SLC7A1 SLC7A3 SLC25A15 SLC25A2,0.92,0.95,0.029999999999999916,5.792665958404541
63,10,GO:0097267,CYP4F11 CYP1A1 CYP4F2 CYP4A22 CYP2C9 CYP2C8 CYP4A11 CYP2C19 CYP1B1 CYP1A2,0.95,0.95,0.0,7.382198095321655
64,10,GO:0007091,CDC23 SPDL1 ANAPC11 ARID1B ZNF207 TPR SMARCB1 AURKB BCL7A ACTL6B,0.92,0.92,0.0,6.913561105728149
65,10,GO:0031648,PYHIN1 GSN SOX17 MYLIP FBXO4 SERF1A SRC SERF1B PRKDC DERL1,0.9,0.9,0.0,6.923702001571655
66,10,GO:2001270,RNF34 RFFL RPS3 PAK2 RFPL1,0.9,0.85,-0.050000000000000044,6.992900848388672
67,10,GO:0010835,KAT2B BANF1 PUM3 XRCC1 SPINDOC PNKP TINF2 HPF1,0.92,0.95,0.029999999999999916,6.771538019180298
68,10,GO:0097011,ZFP36 AKT1 CD4 PDE1B PRLR CSF2 ZFP36L2 NPR2 ETV3,0.9,0.9,0.0,7.317053318023682
69,10,GO:0021756,OGDH BBS4 FOXP2 MKKS FOXP1 BBS2 SLITRK5 DRD2 LRRK2 SLC7A11,0.85,0.95,0.09999999999999998,6.577942848205566
70,10,GO:0031589,SFRP1 COL8A1 SRF ACTN1 RHOA FBLN1 VWC2 PKP2 BRAF ONECUT2,0.85,0.95,0.09999999999999998,6.6735429763793945
71,10,GO:0030202,ANGPT1 EDNRB NDST1 NAGLU HS2ST1 XYLT2 HPSE NDST3 EDNRA IDUA,0.9,0.95,0.04999999999999993,7.36217188835144
72,10,GO:0034059,OXTR EEF2K,0.85,0.85,0.0,4.560091018676758
73,10,GO:0033632,SKAP1 DPP4 FERMT3 WNK1 SWAP70 PIEZO1 CXCL13 PODXL CCL5 CD3E,0.92,0.85,-0.07000000000000006,6.509629011154175
74,10,GO:0032525,LHX1 SMAD4 TBX6 EPB41L5 MESP2 GDF3 RIPPLY1 NRARP RIPPLY2 TMED2,0.92,0.95,0.029999999999999916,6.7536561489105225
75,10,GO:0035865,SLC12A2 NPTX1 KCNJ10 DLG2 STK39 CACNA1H HSF1 NEK7 MECP2 CRHBP,0.92,0.92,0.0,5.017859220504761
76,10,GO:0070101,HIF1A TREM2 EDN1,0.85,0.95,0.09999999999999998,5.560580015182495
77,10,GO:2000532,ADIPOQ GAS6,0.85,0.9,0.050000000000000044,5.01291298866272
78,10,GO:0010875,PTCH1 CES1 ABCA12 ABCA1 SIRT1 ABCG4 NR1H3 PON1 ZDHHC8 EEPD1,0.92,0.95,0.029999999999999916,10.711035966873169
79,10,GO:1904684,RECK PICALM TIMP3,0.9,0.9,0.0,8.031781196594238
80,10,GO:0030200,HGSNAT GPC1 GLB1 SGSH IDS IDUA GUSB NAGLU HPSE,0.92,0.95,0.029999999999999916,6.712707042694092
81,10,GO:0060599,AR WNT5A,0.9,0.95,0.04999999999999993,6.594527959823608
82,10,GO:0009153,DGUOK ADK AK5 DCK GUK1,0.9,0.95,0.04999999999999993,5.56059193611145
83,10,GO:0031644,PTK2B JAM2 EIF2AK3 ZFHX2 APP MGLL AVP CCL3 DVL1 TPPP,0.92,0.95,0.029999999999999916,6.531883955001831
84,10,GO:0006734,FOXK2 ENO2 TPI1 MDH2 PGAM2 PFKP MDH1B VCP ENO3 PC,0.9,0.95,0.04999999999999993,4.350495100021362
85,10,GO:0035542,VPS39 VPS16 VPS11 STXBP1 SNCA PRRT2 VPS33A VPS8 STXBP6 VPS18,0.92,0.95,0.029999999999999916,6.320478916168213
86,10,GO:0042026,HSPB2 HSPA8 HSPA2 HSPB1 DNAJA4 HSPA1A HSP90AA1 DNAJB2 DNAJA2 FKBP1A,0.92,0.95,0.029999999999999916,7.448002815246582
87,10,GO:0043113,NRXN1 GRIPAP1 SLITRK3 SSH1 ZDHHC2 DVL1 APOE SSNA1 SHISA6 CRKL,0.92,0.95,0.029999999999999916,7.6323018074035645
88,10,GO:1902109,BNIP3 ACAA2,0.85,0.85,0.0,4.085210800170898
89,10,GO:1903225,COL5A1 MESP1 COL5A2,0.9,0.95,0.04999999999999993,6.2448508739471436
90,10,GO:0031635,ITGB3 OPRK1,0.85,0.9,0.050000000000000044,4.9118640422821045
91,10,GO:0016098,CYP2C19 CYP3A4 CYP2D6 CYP2C9 CYP2E1 CYP1A2,0.95,0.95,0.0,5.304295063018799
92,10,GO:0061847,CRK CHUK,0.85,0.9,0.050000000000000044,4.37739109992981
93,10,GO:0010523,NOS1 EPO TMBIM6 BCL2,0.9,0.95,0.04999999999999993,6.289466142654419
94,10,GO:0061145,SRF SOX9,0.9,0.95,0.04999999999999993,4.482242107391357
95,10,GO:1902499,MTA1 LRRK2 RBX1,0.85,0.9,0.050000000000000044,6.051923990249634
96,10,GO:1903959,GRM5 TCAF2 RIPK1 ANO9 TCAF1 PRNP CFTR ABCB1 GOPC,0.85,0.95,0.09999999999999998,7.081998825073242
97,10,GO:0061379,FOXB1 TFAP2D,0.85,0.9,0.050000000000000044,5.429353952407837
98,10,GO:0051100,CRMP1 GTF2F1 TFIP11 ILRUN GOLGA2 USP33 SUMO3 PER2 IFIT2 TTBK2,0.92,0.9,-0.020000000000000018,7.065346956253052
99,10,GO:0045945,AR ICE2 ZC3H8 SF3B1 BRF1 ELL ZNF143 BAZ1B DDX21 DEK,0.9,0.95,0.04999999999999993,6.085270643234253
0,20,GO:0007603,PDE6B NMT1 RS1 GUCY2F GRK7 GUCY2D NMT2 RP1 AIPL1 GNAQ ABCA4 GRK1 PDE6C RDH11 GNA11 RHO SAG GNAT1 CAMKMT GRK4,0.92,0.95,0.029999999999999916,5.885210990905762
1,20,GO:0060013,SHANK1 SLC1A1 NPSR1 ALDH1A3 GLRB GLRA1 USP46 AFG3L2,0.92,0.9,-0.020000000000000018,14.644358158111572
2,20,GO:0032886,STIL FBXW5 CCDC65 CEP120 BORA MAP1A HSPA1A NAT10 CCR6 WDR47 XRCC3 GAS2L1 DRC1 MAP9 CEP70 CEP97 PARP3 PRKAA2 MAP2 MARK4,0.92,0.95,0.029999999999999916,5.910340070724487
3,20,GO:0060166,ASCL1 DLX5 ALDH1A3,0.85,0.9,0.050000000000000044,5.141266822814941
4,20,GO:2000773,FBXO5 ABL1 ZKSCAN3 FZR1 SIRT6 CDK6 MAP3K3 WNT1 PTEN PLK2 MIF TERF2 TWIST1 HMGA2 SIRT1 RBL1 YBX1 TERT BCL6 TBX2,0.92,0.85,-0.07000000000000006,6.180478811264038
